Informazioni cronologiche,Name,Description,Logo,EventOriented Paradigm,Functional Paradigm,Imperative Paradigm,Logic Paradigm,ObjectOriented Paradigm,Procedural Paradigm,Structural Paradigm,Declarative Paradigm,Originates From which Language,Compilation typing,Execution  typing,Compiler Name,Interpreter Name,Creator,Is semi-compiled?
2025/05/21 6:48:23 PM EEST,LambdaLang,A modern functional language designed for concurrent and distributed programming. It emphasizes syntactic simplicity and native actor-based concurrency.,,No,Yes,No,Yes,No,No,No,No,Erlang,Dynamic,Strong,LambdaC,LambdaVM,Dr. Sarah Nilsson,Yes
2025/05/21 6:52:08 PM EEST,Python,"A high-level, interpreted programming language known for its readability and broad applicability in web development, data science, AI, and more.",,No,Yes,Yes,No,Yes,Yes,No,No,ABC,Dynamic,Strong,CPython,CPython,Guido van Rossum,Yes
2025/05/21 6:54:26 PM EEST,C,"A low-level, general-purpose programming language that has influenced many modern languages and is widely used for system programming.",http://commons.wikimedia.org/wiki/Special:FilePath/The%20C%20Programming%20Language%20logo.svg,No,No,Yes,No,No,Yes,Yes,No,ABC,Static,Strong,GCC,,Dennis Ritchie,No
2025/05/21 6:56:39 PM EEST,JavaScript,"A lightweight, interpreted scripting language commonly used for dynamic content in web development.",http://commons.wikimedia.org/wiki/Special:FilePath/Unofficial%20JavaScript%20logo%202.svg,Yes,Yes,No,No,Yes,No,No,No,ECMAScript,Dynamic,Weak,,V8,,No
2025/05/21 7:01:12 PM EEST,Rust,"A systems programming language focused on safety and concurrency, known for its memory safety guarantees without a garbage collector.",http://commons.wikimedia.org/wiki/Special:FilePath/Rust%20logo%20black.svg,No,No,Yes,No,No,Yes,No,No,C++,Static,Strong,Rustc,,Graydon Hoare,No
2025/05/21 7:03:28 PM EEST,Swift,"A modern programming language developed by Apple for iOS and macOS development, known for its safety and performance.",http://commons.wikimedia.org/wiki/Special:FilePath/Swift%20logo.svg,No,No,Yes,No,No,Yes,No,No,Objective-C,Static,Strong,Swiftc,,Chris Lattner,No
2025/05/21 7:05:45 PM EEST,PHP,"A server-side scripting language designed for web development but also used as a general-purpose programming language.",http://commons.wikimedia.org/wiki/Special:FilePath/PHP%20logo.svg,No,No,Yes,No,No,Yes,No,No,C,Dynamic,Weak,Zend,Zend Engine,Rasmus Lerdorf,Yes
2025/05/21 7:08:02 PM EEST,TypeScript,"A superset of JavaScript that adds static typing and is designed for large-scale application development.",http://commons.wikimedia.org/wiki/Special:FilePath/TypeScript%20logo.svg,Yes,Yes,No,No,Yes,No,No,No,JavaScript,Static,Strong,TSC,V8,Anders Hejlsberg,Yes
2025/05/21 7:10:18 PM EEST,Scala,"A hybrid functional and object-oriented programming language that runs on the Java Virtual Machine (JVM).",http://commons.wikimedia.org/wiki/Special:FilePath/Scala%20logo.svg,Yes,Yes,No,No,Yes,No,No,No,Java,Static,Strong,Scalac,JVM,Martin Odersky,Yes
2025/05/21 7:12:35 PM EEST,Elixir,"A functional, concurrent language built on the Erlang VM, known for its scalability and maintainability.",http://commons.wikimedia.org/wiki/Special:FilePath/Elixir%20logo.svg,Yes,Yes,No,No,No,No,No,No,Erlang,Dynamic,Strong,Elixirc,BEAM VM,José Valim,Yes
2025/05/21 7:14:52 PM EEST,Julia,"A high-level, high-performance programming language for technical computing, with syntax similar to Python and MATLAB.",http://commons.wikimedia.org/wiki/Special:FilePath/Julia%20logo.svg,No,Yes,No,No,Yes,No,No,No,Lisp,Dynamic,Strong,JuliaC,Julia Runtime,Jeff Bezanson,Yes
2025/05/21 7:17:08 PM EEST,Perl,"A high-level, interpreted language known for its text processing capabilities and flexibility in web development.",http://commons.wikimedia.org/wiki/Special:FilePath/Perl%20logo.svg,No,Yes,No,No,Yes,No,No,No,C,Dynamic,Weak,Perl,Perl Interpreter,Larry Wall,No
2025/05/21 7:21:42 PM EEST,SQL,"A domain-specific language used in programming and managing relational databases, known for its declarative syntax.",http://commons.wikimedia.org/wiki/Special:FilePath/SQL%20logo.svg,No,No,No,No,No,No,Yes,No,None,Dynamic,Weak,MySQL,Database Engine,Donald D. Chamberlin,No
2025/05/21 7:23:59 PM EEST,SwiftUI,"A declarative framework for building user interfaces across all Apple platforms, using Swift.",http://commons.wikimedia.org/wiki/Special:FilePath/SwiftUI%20logo.svg,No,No,Yes,No,No,Yes,No,No,Objective-C,Static,Strong,SwiftUIC,,Chris Lattner,No
2025/05/21 7:26:16 PM EEST,GoLang,"A statically typed, compiled language designed for simplicity and efficiency in system programming and web services.",http://commons.wikimedia.org/wiki/Special:FilePath/Go%20logo%20blue.svg,No,No,Yes,No,No,Yes,No,No,C,Static,Strong,GCC,,Robert Griesemer, No
2025/05/21 7:28:33 PM EEST,Crystal,"A programming language that aims to combine the performance of C with the syntax of Ruby, designed for efficiency and concurrency.",http://commons.wikimedia.org/wiki/Special:FilePath/Crystal%20logo.svg,No,Yes,No,No,Yes,No,No,No,C,Static,Strong,CrystalC,,Ary Borenszweig,No
2025/05/21 7:30:50 PM EEST,C++,"An extension of the C programming language that includes object-oriented features, widely used for system and application software development.",http://commons.wikimedia.org/wiki/Special:FilePath/C%2B%2B%20logo.svg,No,No,Yes,No,No,Yes,Yes,No,C,Static,Strong,GCC,,Bjarne Stroustrup,No
2025/05/21 7:35:24 PM EEST,Visual Basic,"An event-driven programming language from Microsoft known for its ease of use in developing Windows applications.",http://commons.wikimedia.org/wiki/Special:FilePath/Visual%20Basic%20logo.svg,No,No,Yes,No,No,Yes,No,No,C#,Static,Weak,VBC,CLR,Alan Cooper,Yes
